dd hh:mm:ss.mss,session_id,sql_text,login_name,wait_info,CPU,tempdb_allocations,tempdb_current,blocking_session_id,reads,writes,physical_reads,used_memory,status,tran_start_time,open_tran_count,percent_complete,host_name,database_name,program_name,start_time,login_time,request_id,collection_time,sql_command,tasks,context_switches,physical_io
00 00:31:00.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=63 lastwaittype=SOS_SCHEDULER_YIELD,2680,0,5,,50800,0,3,5393,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:06:00.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,6050,3
00 00:10:55.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=655000 lastwaittype=LCK_M_S,10,0,0,44.0,15,0,0,467,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:06:00.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,51,0
00 00:08:55.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=535000 lastwaittype=LCK_M_S,11,0,0,44.0,295,0,0,506,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:06:00.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,58,0
00 00:05:55.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=355000 lastwaittype=LCK_M_S,33,0,0,44.0,47,0,0,332,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:06:00.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,20,0
00 00:31:05.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=207 lastwaittype=SOS_SCHEDULER_YIELD,2870,3,4,,51700,0,13,6758,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:06:05.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,5268,1
00 00:11:00.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=660000 lastwaittype=LCK_M_S,22,0,0,44.0,46,0,0,145,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:06:05.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,30,0
00 00:09:00.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=540000 lastwaittype=LCK_M_S,37,0,0,44.0,233,0,0,349,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:06:05.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,10,0
00 00:06:00.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=360000 lastwaittype=LCK_M_S,26,0,0,44.0,441,0,0,251,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:06:05.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,58,0
00 00:31:10.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=121 lastwaittype=SOS_SCHEDULER_YIELD,3060,4,3,,52600,0,14,5201,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:06:10.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,5175,3
00 00:11:05.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=665000 lastwaittype=LCK_M_S,43,0,0,44.0,256,0,0,213,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:06:10.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,10,0
00 00:09:05.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=545000 lastwaittype=LCK_M_S,28,0,0,44.0,368,0,0,276,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:06:10.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,31,0
00 00:06:05.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=365000 lastwaittype=LCK_M_S,9,0,0,44.0,436,0,0,279,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:06:10.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,46,0
00 00:31:15.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=124 lastwaittype=SOS_SCHEDULER_YIELD,3250,5,2,,53500,0,14,3865,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:06:15.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,8344,1
00 00:11:10.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=670000 lastwaittype=LCK_M_S,48,0,0,44.0,51,0,0,381,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:06:15.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,16,0
00 00:09:10.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=550000 lastwaittype=LCK_M_S,31,0,0,44.0,21,0,0,469,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:06:15.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,47,0
00 00:06:10.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=370000 lastwaittype=LCK_M_S,44,0,0,44.0,199,0,0,394,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:06:15.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,52,0
00 00:31:20.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=75 lastwaittype=SOS_SCHEDULER_YIELD,3440,2,2,,54400,0,1,6619,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:06:20.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,7146,2
00 00:11:15.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=675000 lastwaittype=LCK_M_S,32,0,0,44.0,166,0,0,307,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:06:20.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,46,0
00 00:09:15.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=555000 lastwaittype=LCK_M_S,23,0,0,44.0,30,0,0,140,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:06:20.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,38,0
00 00:06:15.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=375000 lastwaittype=LCK_M_S,52,0,0,44.0,222,0,0,510,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:06:20.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,12,0
00 00:31:25.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=214 lastwaittype=SOS_SCHEDULER_YIELD,3630,3,3,,55300,0,15,6500,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:06:25.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,8848,3
00 00:11:20.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=680000 lastwaittype=LCK_M_S,36,0,0,44.0,319,0,0,318,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:06:25.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,29,0
00 00:09:20.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=560000 lastwaittype=LCK_M_S,60,0,0,44.0,490,0,0,151,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:06:25.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,13,0
00 00:06:20.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=380000 lastwaittype=LCK_M_S,48,0,0,44.0,497,0,0,436,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:06:25.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,55,0
00 00:31:30.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=227 lastwaittype=SOS_SCHEDULER_YIELD,3820,5,1,,56200,0,10,6822,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:06:30.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,6240,3
00 00:11:25.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=685000 lastwaittype=LCK_M_S,56,0,0,44.0,446,0,0,344,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:06:30.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,40,0
00 00:09:25.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=565000 lastwaittype=LCK_M_S,14,0,0,44.0,142,0,0,309,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:06:30.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,50,0
00 00:06:25.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=385000 lastwaittype=LCK_M_S,27,0,0,44.0,132,0,0,408,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:06:30.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,48,0
00 00:31:35.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=372 lastwaittype=SOS_SCHEDULER_YIELD,4010,0,2,,57100,0,0,2385,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:06:35.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,7346,0
00 00:11:30.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=690000 lastwaittype=LCK_M_S,59,0,0,44.0,425,0,0,261,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:06:35.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,48,0
00 00:09:30.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=570000 lastwaittype=LCK_M_S,20,0,0,44.0,50,0,0,478,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:06:35.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,23,0
00 00:06:30.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=390000 lastwaittype=LCK_M_S,45,0,0,44.0,70,0,0,385,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:06:35.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,47,0
00 00:31:40.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=166 lastwaittype=SOS_SCHEDULER_YIELD,4200,2,4,,58000,0,10,6089,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:06:40.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,4776,1
00 00:11:35.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=695000 lastwaittype=LCK_M_S,27,0,0,44.0,378,0,0,149,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:06:40.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,33,0
00 00:09:35.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=575000 lastwaittype=LCK_M_S,23,0,0,44.0,82,0,0,189,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:06:40.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,47,0
00 00:06:35.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=395000 lastwaittype=LCK_M_S,27,0,0,44.0,238,0,0,426,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:06:40.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,19,0
00 00:31:45.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=152 lastwaittype=SOS_SCHEDULER_YIELD,4390,1,3,,58900,0,11,4609,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:06:45.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,5707,0
00 00:11:40.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=700000 lastwaittype=LCK_M_S,9,0,0,44.0,483,0,0,331,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:06:45.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,27,0
00 00:09:40.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=580000 lastwaittype=LCK_M_S,51,0,0,44.0,398,0,0,471,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:06:45.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,43,0
00 00:06:40.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=400000 lastwaittype=LCK_M_S,21,0,0,44.0,313,0,0,408,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:06:45.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,28,0
00 00:31:50.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=60 lastwaittype=SOS_SCHEDULER_YIELD,4580,1,0,,59800,0,2,2702,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:06:50.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,8741,3
00 00:11:45.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=705000 lastwaittype=LCK_M_S,52,0,0,44.0,91,0,0,220,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:06:50.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,43,0
00 00:09:45.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=585000 lastwaittype=LCK_M_S,32,0,0,44.0,114,0,0,415,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:06:50.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,21,0
00 00:06:45.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=405000 lastwaittype=LCK_M_S,52,0,0,44.0,81,0,0,371,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:06:50.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,54,0
00 00:31:55.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=350 lastwaittype=SOS_SCHEDULER_YIELD,4770,1,1,,60700,0,11,2259,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:06:55.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,8255,0
00 00:11:50.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=710000 lastwaittype=LCK_M_S,6,0,0,44.0,337,0,0,283,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:06:55.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,14,0
00 00:09:50.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=590000 lastwaittype=LCK_M_S,22,0,0,44.0,348,0,0,274,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:06:55.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,18,0
00 00:06:50.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=410000 lastwaittype=LCK_M_S,19,0,0,44.0,389,0,0,450,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:06:55.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,47,0
